date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:42	245895/245895	---M--	200	added ('OK')	application/pdf	etag:%221734de-3c087-55ddcc80%22	http://www.merck.com/product/usa/pi_circulars/j/januvia/januvia_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/j/januvia/januvia_pi.pdf	(from http://www.merck.com/product/home.html)
16:11:52	746268/746268	---M--	200	added ('OK')	application/pdf	etag:%222b4ae9-b631c-4de76740%22	http://www.merck.com/product/usa/pi_circulars/i/isentress/isentress_ifu.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/i/isentress/isentress_ifu.pdf	(from http://www.merck.com/product/home.html)
16:11:56	86904/86904	---M--	200	added ('OK')	application/pdf	etag:%22bbba04-15378-4f6a2d00%22	http://www.merck.com/product/usa/pi_circulars/k/keytruda/keytruda_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/k/keytruda/keytruda_mg.pdf	(from http://www.merck.com/product/home.html)
16:12:27	287026/287026	---M--	200	added ('OK')	application/pdf	etag:%22bbba05-46132-504f0ec0%22	http://www.merck.com/product/usa/pi_circulars/k/keytruda/keytruda_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/k/keytruda/keytruda_pi.pdf	(from http://www.merck.com/product/home.html)
16:12:42	281443/281443	---M--	200	added ('OK')	application/pdf	etag:%2234fded-44b63-4de76740%22	http://www.merck.com/product/usa/pi_circulars/l/liptruzet/liptruzet_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/l/liptruzet/liptruzet_ppi.pdf	(from http://www.merck.com/product/home.html)
16:12:52	150584/150584	---M--	200	added ('OK')	application/pdf	etag:%22140d46-24c38-19b26480%22	http://www.merck.com/product/usa/pi_circulars/l/lotrisone_cream/lotrisone_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/l/lotrisone_cream/lotrisone_pi.pdf	(from http://www.merck.com/product/home.html)
16:12:56	87715/87715	---M--	200	added ('OK')	application/pdf	etag:%22140d48-156a3-1b115840%22	http://www.merck.com/product/usa/pi_circulars/l/lotrisone_cream/lotrisone_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/l/lotrisone_cream/lotrisone_ppi.pdf	(from http://www.merck.com/product/home.html)
16:13:03	34609/34609	---M--	200	added ('OK')	application/pdf	etag:%224a94ab-8731-4de76740%22	http://www.merck.com/product/usa/pi_circulars/m/maxalt/maxalt_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/m/maxalt/maxalt_ppi.pdf	(from http://www.merck.com/product/home.html)
16:13:41	233563/233563	---M--	200	added ('OK')	application/pdf	etag:%22379d07-3905b-4de76740%22	http://www.merck.com/product/usa/pi_circulars/m/mevacor/mevacor_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/m/mevacor/mevacor_pi.pdf	(from http://www.merck.com/product/home.html)
16:14:02	438946/438946	---M--	200	added ('OK')	application/pdf	etag:%224a94aa-6b2a2-4de76740%22	http://www.merck.com/product/usa/pi_circulars/m/maxalt/maxalt_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/m/maxalt/maxalt_pi.pdf	(from http://www.merck.com/product/home.html)
